period,practice_code,lsoa,population
01/01/2018,B82031,E01027915,1358
01/01/2018,B82031,E01027916,1285
01/01/2018,B82031,E01027917,1741
01/01/2018,B82031,E01027922,22
01/01/2018,B82033,E01027774,203
01/01/2018,B82033,E01027776,1157
01/01/2018,B82033,E01027777,333
01/01/2018,B82033,E01027783,26
01/01/2018,B82033,E01027792,2123
01/01/2018,B82033,E01027793,1486
01/01/2018,B82033,E01027794,1917
01/01/2018,B82033,E01027795,1578
01/01/2018,B82033,E01027800,215
01/01/2018,B82033,E01027801,880
01/01/2018,B82033,E01027802,532
01/01/2018,B82041,E01027876,374
01/01/2018,B82041,E01027877,319
01/01/2018,B82041,E01027878,411
01/01/2018,B82041,E01027879,658
01/01/2018,B82041,E01027880,810
01/01/2018,B82041,E01027881,783
01/01/2018,B82041,E01027882,891
01/01/2018,B82041,E01027883,575
01/01/2018,B82041,E01027884,772
01/01/2018,B82041,E01027885,1006
01/01/2018,B82041,E01027886,329
01/01/2018,B82041,E01027887,333
01/01/2018,B82041,E01027890,356
01/01/2018,B82041,E01027893,313
01/01/2018,B82041,E01027894,433
01/01/2018,B82041,E01027895,500
01/01/2018,B82041,E01027896,297
01/01/2018,B82041,E01027897,454
01/01/2018,B82041,E01027901,1155
01/01/2018,B82041,E01027902,655
01/01/2018,B82041,E01027903,68
01/01/2018,B82041,E01027905,472
01/01/2018,B82041,E01027906,231
01/01/2018,B82041,E01027907,256
01/01/2018,B82041,E01027908,246
01/01/2018,B82041,E01027909,443
01/01/2018,B82041,E01027910,1142
01/01/2018,B82041,E01027911,604
01/01/2018,B82041,E01027912,454
01/01/2018,B82041,E01027913,490
01/01/2018,B82047,E01013343,42
01/01/2018,B82047,E01013344,28
01/01/2018,B82047,E01013345,32
01/01/2018,B82047,E01013348,25
01/01/2018,B82047,E01013350,23
01/01/2018,B82047,E01013351,64
01/01/2018,B82047,E01013352,53
01/01/2018,B82047,E01013360,446
01/01/2018,B82047,E01013361,1096
01/01/2018,B82047,E01013362,700
01/01/2018,B82047,E01013363,1549
01/01/2018,B82047,E01013364,978
01/01/2018,B82047,E01013365,460
01/01/2018,B82047,E01013366,64
01/01/2018,B82047,E01013368,55
01/01/2018,B82047,E01013369,61
01/01/2018,B82047,E01013378,8803
01/01/2018,B82047,E01013379,59
01/01/2018,B82047,E01013380,137
01/01/2018,B82047,E01013381,115
01/01/2018,B82047,E01013382,50
01/01/2018,B82047,E01013383,209
01/01/2018,B82047,E01013384,253
01/01/2018,B82047,E01013385,22
01/01/2018,B82047,E01013387,51
01/01/2018,B82047,E01013388,34
01/01/2018,B82047,E01013389,54
01/01/2018,B82047,E01013390,29
01/01/2018,B82047,E01013391,66
01/01/2018,B82047,E01013398,541
01/01/2018,B82047,E01013399,233
01/01/2018,B82047,E01013400,699
01/01/2018,B82047,E01013401,455
01/01/2018,B82047,E01013402,939
01/01/2018,B82047,E01013403,839
01/01/2018,B82047,E01013406,24
01/01/2018,B82047,E01013412,101
01/01/2018,B82047,E01013413,59
01/01/2018,B82047,E01013414,85
01/01/2018,B82047,E01013416,84
01/01/2018,B82047,E01013417,53
01/01/2018,B82047,E01013418,79
01/01/2018,B82047,E01013419,443
01/01/2018,B82047,E01013420,857
01/01/2018,B82047,E01033067,237
01/01/2018,B82047,E01033068,123
01/01/2018,B82047,E01033069,82
01/01/2018,B82047,E01033070,590
01/01/2018,B82064,E01027594,100
01/01/2018,B82064,E01027595,98
01/01/2018,B82064,E01027596,69
01/01/2018,B82064,E01027600,112
01/01/2018,B82064,E01027601,128
01/01/2018,B82064,E01027619,1161
01/01/2018,B82064,E01027622,40
01/01/2018,B82064,E01027634,1450
01/01/2018,B82064,E01027636,22
01/01/2018,B82068,E01027627,40
01/01/2018,B82068,E01027636,28
01/01/2018,B82068,E01027775,154
01/01/2018,B82068,E01027776,28
01/01/2018,B82068,E01027777,42
01/01/2018,B82068,E01027780,1109
01/01/2018,B82068,E01027781,1109
01/01/2018,B82068,E01027782,44
01/01/2018,B82068,E01027783,211
01/01/2018,B82068,E01027784,100
01/01/2018,B82068,E01027800,363
01/01/2018,B82071,E01013340,938
01/01/2018,B82071,E01013341,883
01/01/2018,B82071,E01013342,1022
01/01/2018,B82071,E01013354,48
01/01/2018,B82071,E01013355,89
01/01/2018,B82071,E01013356,27
01/01/2018,B82071,E01013357,179
01/01/2018,B82071,E01013412,21
01/01/2018,B82071,E01013414,21
01/01/2018,B82071,E01013421,296
01/01/2018,B82071,E01013423,887
01/01/2018,B82071,E01013424,932
01/01/2018,B82071,E01013425,1052
01/01/2018,B82071,E01027875,805
01/01/2018,B82073,E01011297,298
01/01/2018,B82073,E01011298,1273
01/01/2018,B82073,E01011299,55
01/01/2018,B82073,E01027888,212
01/01/2018,B82073,E01027891,544
01/01/2018,B82073,E01027892,239
01/01/2018,B82073,E01027893,948
01/01/2018,B82073,E01027894,888
01/01/2018,B82073,E01027895,446
01/01/2018,B82073,E01027898,2245
01/01/2018,B82073,E01027899,735
01/01/2018,B82073,E01027904,124
01/01/2018,B82073,E01027914,263
01/01/2018,B82073,E01027915,525
01/01/2018,B82073,E01027916,297
01/01/2018,B82073,E01027917,438
01/01/2018,B82074,E01027876,718
01/01/2018,B82074,E01027877,486
01/01/2018,B82074,E01027878,557
01/01/2018,B82074,E01027879,516
01/01/2018,B82074,E01027880,474
01/01/2018,B82074,E01027881,384
01/01/2018,B82074,E01027882,633
01/01/2018,B82074,E01027883,154
01/01/2018,B82074,E01027884,298
01/01/2018,B82074,E01027886,790
01/01/2018,B82074,E01027887,717
01/01/2018,B82074,E01027888,49
01/01/2018,B82074,E01027890,251
01/01/2018,B82074,E01027893,331
01/01/2018,B82074,E01027894,403
01/01/2018,B82074,E01027895,343
01/01/2018,B82074,E01027896,1314
01/01/2018,B82074,E01027897,1115
01/01/2018,B82074,E01027901,103
01/01/2018,B82074,E01027902,79
01/01/2018,B82074,E01027905,910
01/01/2018,B82074,E01027906,442
01/01/2018,B82074,E01027907,527
01/01/2018,B82074,E01027908,667
01/01/2018,B82074,E01027909,1179
01/01/2018,B82074,E01027910,1916
01/01/2018,B82074,E01027911,587
01/01/2018,B82074,E01027912,337
01/01/2018,B82074,E01027913,515
01/01/2018,B82077,E01027774,30
01/01/2018,B82077,E01027776,371
01/01/2018,B82077,E01027777,924
01/01/2018,B82077,E01027780,582
01/01/2018,B82077,E01027781,93
01/01/2018,B82077,E01027782,58
01/01/2018,B82077,E01027783,1431
01/01/2018,B82077,E01027784,1553
01/01/2018,B82077,E01027792,82
01/01/2018,B82077,E01027793,39
01/01/2018,B82077,E01027794,82
01/01/2018,B82077,E01027795,45
01/01/2018,B82077,E01027800,614
01/01/2018,B82079,E01027594,153
01/01/2018,B82079,E01027595,143
01/01/2018,B82079,E01027596,104
01/01/2018,B82079,E01027601,1124
01/01/2018,B82079,E01027622,1249
01/01/2018,B82079,E01027634,21
01/01/2018,B82079,E01027778,22
01/01/2018,B82079,E01027782,25
01/01/2018,B82079,E01027799,394
01/01/2018,B82080,E01013057,55
01/01/2018,B82080,E01013059,368
01/01/2018,B82080,E01013060,1917
01/01/2018,B82080,E01013061,1600
01/01/2018,B82080,E01013119,107
