"period","practice_code","lsoa","population"
"2021-07-01","B82041","E01027897",442
"2021-07-01","B82041","E01027901",1130
"2021-07-01","B82041","E01027902",578
"2021-07-01","B82041","E01027903",66
"2021-07-01","B82041","E01027905",479
"2021-07-01","B82041","E01027906",224
"2021-07-01","B82041","E01027907",217
"2021-07-01","B82041","E01027908",232
"2021-07-01","B82041","E01027909",416
"2021-07-01","B82041","E01027910",1134
"2021-07-01","B82041","E01027911",531
"2021-07-01","B82041","E01027912",458
"2021-07-01","B82041","E01027913",473
"2021-07-01","B82047","E01013343",30
"2021-07-01","B82047","E01013345",41
"2021-07-01","B82047","E01013348",34
"2021-07-01","B82047","E01013350",23
"2021-07-01","B82047","E01013351",41
"2021-07-01","B82047","E01013352",48
"2021-07-01","B82047","E01013355",24
"2021-07-01","B82047","E01013360",417
"2021-07-01","B82047","E01013361",931
"2021-07-01","B82047","E01013362",628
"2021-07-01","B82047","E01013363",1892
"2021-07-01","B82047","E01013364",796
"2021-07-01","B82047","E01013365",436
"2021-07-01","B82047","E01013366",53
"2021-07-01","B82047","E01013368",59
"2021-07-01","B82047","E01013369",97
"2021-07-01","B82047","E01013378",7823
"2021-07-01","B82047","E01013379",49
"2021-07-01","B82047","E01013380",125
"2021-07-01","B82047","E01013381",92
"2021-07-01","B82047","E01013382",36
"2021-07-01","B82047","E01013383",147
"2021-07-01","B82047","E01013384",199
"2021-07-01","B82047","E01013385",27
"2021-07-01","B82047","E01013387",45
"2021-07-01","B82047","E01013388",26
"2021-07-01","B82047","E01013389",45
"2021-07-01","B82047","E01013390",32
"2021-07-01","B82047","E01013391",58
"2021-07-01","B82047","E01013398",455
"2021-07-01","B82047","E01013399",220
"2021-07-01","B82047","E01013400",641
"2021-07-01","B82047","E01013401",337
"2021-07-01","B82047","E01013402",890
"2021-07-01","B82047","E01013403",632
"2021-07-01","B82047","E01013406",25
"2021-07-01","B82047","E01013412",80
"2021-07-01","B82047","E01013413",50
"2021-07-01","B82047","E01013414",77
"2021-07-01","B82047","E01013416",57
"2021-07-01","B82047","E01013417",37
"2021-07-01","B82047","E01013418",57
"2021-07-01","B82047","E01013419",439
"2021-07-01","B82047","E01013420",794
"2021-07-01","B82047","E01013441",25
